37,8,88,2,61,16,45,73,93,74,51,40,21,50,10,73,2,27,83,100
46,61,72,52,38,11,16,17,2,45,76,33,20,78,88,48,6,75,60,54
10,72,50,53,29,50,23,37,52,76,86,26,64,3,100,64,87,87,33,52
84,44,76,74,27,84,53,17,66,100,32,42,65,48,24,91,95,29,87,46
21,8,100,5,60,30,83,72,79,92,52,21,49,24,27,4,40,59,16,5
66,79,57,17,40,56,91,65,7,100,97,73,98,55,46,53,32,41,45,60
53,85,94,6,8,74,84,93,50,97,12,58,38,100,52,6,40,41,31,48
94,31,44,88,98,50,75,10,42,69,66,12,66,80,7,5,17,56,99,99
58,84,82,1,95,4,94,4,45,92,49,89,97,94,44,19,3,56,61,69
39,86,83,62,74,17,86,35,21,61,89,93,15,80,65,60,73,8,99,36
